"GEO_ID","NAME","B19013_001E","B19013_001M",
"Geography","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2020 inflation-adjusted dollars)",
"1400000US06001436000","Census Tract 4360, Alameda County, California","88897","13887",
"1400000US06001436100","Census Tract 4361, Alameda County, California","98047","18646",
"1400000US06001436200","Census Tract 4362, Alameda County, California","56223","18025",
"1400000US06001436301","Census Tract 4363.01, Alameda County, California","108120","27030",
"1400000US06001436302","Census Tract 4363.02, Alameda County, California","100063","17914",
"1400000US06001436402","Census Tract 4364.02, Alameda County, California","146506","22422",
"1400000US06001436403","Census Tract 4364.03, Alameda County, California","95694","15723",
"1400000US06001436404","Census Tract 4364.04, Alameda County, California","122161","23984",
"1400000US06001436500","Census Tract 4365, Alameda County, California","70821","6732",
"1400000US06001436601","Census Tract 4366.01, Alameda County, California","77411","31261",
"1400000US06001436602","Census Tract 4366.02, Alameda County, California","66389","22329",
"1400000US06001436700","Census Tract 4367, Alameda County, California","84000","21065",
"1400000US06001436800","Census Tract 4368, Alameda County, California","103750","25687",
"1400000US06001436900","Census Tract 4369, Alameda County, California","68988","18466",
"1400000US06001437000","Census Tract 4370, Alameda County, California","99485","13871",
"1400000US06001437101","Census Tract 4371.01, Alameda County, California","115083","33285",
"1400000US06001437102","Census Tract 4371.02, Alameda County, California","73750","17479",
"1400000US06001437200","Census Tract 4372, Alameda County, California","87391","15757",
"1400000US06001437300","Census Tract 4373, Alameda County, California","55938","17979",
"1400000US06001437400","Census Tract 4374, Alameda County, California","84931","19227",
"1400000US06001437500","Census Tract 4375, Alameda County, California","77683","14240",
"1400000US06001437600","Census Tract 4376, Alameda County, California","99219","20770",
"1400000US06001437701","Census Tract 4377.01, Alameda County, California","61860","3386",
"1400000US06001437702","Census Tract 4377.02, Alameda County, California","68919","6764",
"1400000US06001437800","Census Tract 4378, Alameda County, California","121700","28127",
"1400000US06001437900","Census Tract 4379, Alameda County, California","95577","16922",
"1400000US06001438000","Census Tract 4380, Alameda County, California","104306","21556",
"1400000US06001438100","Census Tract 4381, Alameda County, California","128906","23273",
"1400000US06001438201","Census Tract 4382.01, Alameda County, California","81815","14245",
"1400000US06001438203","Census Tract 4382.03, Alameda County, California","100417","41457",
"1400000US06001438204","Census Tract 4382.04, Alameda County, California","86315","5412",
"1400000US06001438300","Census Tract 4383, Alameda County, California","97241","15451",
"1400000US06001438400","Census Tract 4384, Alameda County, California","79375","12660",
"1400000US06001440100","Census Tract 4401, Alameda County, California","89806","7848",
"1400000US06001440200","Census Tract 4402, Alameda County, California","96123","11012",
"1400000US06001440301","Census Tract 4403.01, Alameda County, California","102750","17825",
"1400000US06001440304","Census Tract 4403.04, Alameda County, California","114000","20872",
"1400000US06001440305","Census Tract 4403.05, Alameda County, California","139063","26855",
"1400000US06001440306","Census Tract 4403.06, Alameda County, California","92813","15232",
"1400000US06001440307","Census Tract 4403.07, Alameda County, California","79483","21751",
"1400000US06001440308","Census Tract 4403.08, Alameda County, California","115795","14759",
"1400000US06001440331","Census Tract 4403.31, Alameda County, California","109455","19616",
"1400000US06001440332","Census Tract 4403.32, Alameda County, California","175764","29389",
"1400000US06001440333","Census Tract 4403.33, Alameda County, California","114875","16254",
"1400000US06001440334","Census Tract 4403.34, Alameda County, California","125962","7641",
"1400000US06001440336","Census Tract 4403.36, Alameda County, California","110977","17308",
"1400000US06001440337","Census Tract 4403.37, Alameda County, California","194861","92302",
"1400000US06001440338","Census Tract 4403.38, Alameda County, California","129864","67596",
"1400000US06001441100","Census Tract 4411, Alameda County, California","150554","22783",
"1400000US06001441200","Census Tract 4412, Alameda County, California","128608","33696",
"1400000US06001441301","Census Tract 4413.01, Alameda County, California","131087","17238",
"1400000US06001441302","Census Tract 4413.02, Alameda County, California","165583","17719",
"1400000US06001441401","Census Tract 4414.01, Alameda County, California","139253","14684",
"1400000US06001441402","Census Tract 4414.02, Alameda County, California","152176","16126",
"1400000US06001441501","Census Tract 4415.01, Alameda County, California","170637","15578",
"1400000US06001441503","Census Tract 4415.03, Alameda County, California","191902","25449",
"1400000US06001441521","Census Tract 4415.21, Alameda County, California","178750","59887",
"1400000US06001441522","Census Tract 4415.22, Alameda County, California","141875","48932",
"1400000US06001441523","Census Tract 4415.23, Alameda County, California","151885","18410",
"1400000US06001441524","Census Tract 4415.24, Alameda County, California","185460","16800",
"1400000US06001441525","Census Tract 4415.25, Alameda County, California","128750","51871",
"1400000US06001441601","Census Tract 4416.01, Alameda County, California","136131","38486",
"1400000US06001441602","Census Tract 4416.02, Alameda County, California","111311","18252",
"1400000US06001441701","Census Tract 4417.01, Alameda County, California","140116","71453",
"1400000US06001441702","Census Tract 4417.02, Alameda County, California","95563","35955",
"1400000US06001441800","Census Tract 4418, Alameda County, California","146659","37704",
"1400000US06001441921","Census Tract 4419.21, Alameda County, California","154659","39125",
"1400000US06001441923","Census Tract 4419.23, Alameda County, California","119242","6608",
"1400000US06001441924","Census Tract 4419.24, Alameda County, California","149676","21140",
"1400000US06001441926","Census Tract 4419.26, Alameda County, California","97660","12052",
"1400000US06001441927","Census Tract 4419.27, Alameda County, California","113214","19318",
"1400000US06001441928","Census Tract 4419.28, Alameda County, California","127228","28438",
"1400000US06001441929","Census Tract 4419.29, Alameda County, California","121612","31569",
"1400000US06001442000","Census Tract 4420, Alameda County, California","165833","33465",
"1400000US06001442100","Census Tract 4421, Alameda County, California","200556","8201",
"1400000US06001442200","Census Tract 4422, Alameda County, California","192484","22565",
"1400000US06001442301","Census Tract 4423.01, Alameda County, California","130015","16050",
"1400000US06001442302","Census Tract 4423.02, Alameda County, California","84289","9161",
"1400000US06001442400","Census Tract 4424, Alameda County, California","132500","29319",
"1400000US06001442501","Census Tract 4425.01, Alameda County, California","120168","50736",
"1400000US06001442502","Census Tract 4425.02, Alameda County, California","107905","42498",
"1400000US06001442601","Census Tract 4426.01, Alameda County, California","145685","24079",
"1400000US06001442602","Census Tract 4426.02, Alameda County, California","109531","11400",
"1400000US06001442700","Census Tract 4427, Alameda County, California","168885","12244",
"1400000US06001442800","Census Tract 4428, Alameda County, California","137455","16375",
"1400000US06001442900","Census Tract 4429, Alameda County, California","142076","20416",
"1400000US06001443001","Census Tract 4430.01, Alameda County, California","115391","18173",
"1400000US06001443002","Census Tract 4430.02, Alameda County, California","115054","20736",
"1400000US06001443102","Census Tract 4431.02, Alameda County, California","201290","10532",
"1400000US06001443103","Census Tract 4431.03, Alameda County, California","204563","40046",
"1400000US06001443104","Census Tract 4431.04, Alameda County, California","172697","24859",
"1400000US06001443105","Census Tract 4431.05, Alameda County, California","194205","27959",
"1400000US06001443200","Census Tract 4432, Alameda County, California","224565","26215",
"1400000US06001443301","Census Tract 4433.01, Alameda County, California","174688","40212",
"1400000US06001443321","Census Tract 4433.21, Alameda County, California","113802","24839",
"1400000US06001443322","Census Tract 4433.22, Alameda County, California","178036","26634",
"1400000US06001444100","Census Tract 4441, Alameda County, California","138900","13565",
"1400000US06001444200","Census Tract 4442, Alameda County, California","143202","10108",
"1400000US06001444301","Census Tract 4443.01, Alameda County, California","138616","27049",
"1400000US06001444303","Census Tract 4443.03, Alameda County, California","-","**",
"1400000US06001444304","Census Tract 4443.04, Alameda County, California","128889","34334",
"1400000US06001444400","Census Tract 4444, Alameda County, California","93553","10923",
"1400000US06001444500","Census Tract 4445, Alameda County, California","114453","9582",
"1400000US06001444601","Census Tract 4446.01, Alameda County, California","155682","27806",
"1400000US06001444602","Census Tract 4446.02, Alameda County, California","140151","18380",
"1400000US06001450101","Census Tract 4501.01, Alameda County, California","149698","17644",
"1400000US06001450102","Census Tract 4501.02, Alameda County, California","148650","27935",
"1400000US06001450200","Census Tract 4502, Alameda County, California","109280","21668",
"1400000US06001450300","Census Tract 4503, Alameda County, California","115887","12826",
"1400000US06001450400","Census Tract 4504, Alameda County, California","133109","14207",
"1400000US06001450501","Census Tract 4505.01, Alameda County, California","150037","9875",
"1400000US06001450502","Census Tract 4505.02, Alameda County, California","178795","12746",
"1400000US06001450601","Census Tract 4506.01, Alameda County, California","192115","37117",
"1400000US06001450603","Census Tract 4506.03, Alameda County, California","169732","20065",
"1400000US06001450604","Census Tract 4506.04, Alameda County, California","161905","21788",
"1400000US06001450605","Census Tract 4506.05, Alameda County, California","160288","9017",
"1400000US06001450606","Census Tract 4506.06, Alameda County, California","191118","24535",
"1400000US06001450607","Census Tract 4506.07, Alameda County, California","107933","13545",
"1400000US06001450608","Census Tract 4506.08, Alameda County, California","244412","32469",
"1400000US06001450609","Census Tract 4506.09, Alameda County, California","150202","12799",
"1400000US06001450701","Census Tract 4507.01, Alameda County, California","220938","46903",
"1400000US06001450741","Census Tract 4507.41, Alameda County, California","135733","17545",
"1400000US06001450742","Census Tract 4507.42, Alameda County, California","160128","19829",
"1400000US06001450743","Census Tract 4507.43, Alameda County, California","135708","13050",
"1400000US06001450744","Census Tract 4507.44, Alameda County, California","162171","31742",
"1400000US06001450745","Census Tract 4507.45, Alameda County, California","161782","41584",
"1400000US06001450746","Census Tract 4507.46, Alameda County, California","150147","33604",
"1400000US06001450750","Census Tract 4507.50, Alameda County, California","122183","6943",
"1400000US06001450751","Census Tract 4507.51, Alameda County, California","250,000+","***",
"1400000US06001450752","Census Tract 4507.52, Alameda County, California","236795","13175",
"1400000US06001451102","Census Tract 4511.02, Alameda County, California","243375","77818",
"1400000US06001451103","Census Tract 4511.03, Alameda County, California","250,000+","***",
"1400000US06001451104","Census Tract 4511.04, Alameda County, California","156463","22012",
"1400000US06001451201","Census Tract 4512.01, Alameda County, California","95254","13272",
"1400000US06001451202","Census Tract 4512.02, Alameda County, California","146000","12009",
"1400000US06001451300","Census Tract 4513, Alameda County, California","107420","14630",
"1400000US06001451401","Census Tract 4514.01, Alameda County, California","100236","14863",
"1400000US06001451403","Census Tract 4514.03, Alameda County, California","145227","29565",
"1400000US06001451404","Census Tract 4514.04, Alameda County, California","79769","25658",
"1400000US06001451501","Census Tract 4515.01, Alameda County, California","137250","15104",
"1400000US06001451503","Census Tract 4515.03, Alameda County, California","147625","18931",
"1400000US06001451504","Census Tract 4515.04, Alameda County, California","133333","17826",
"1400000US06001451505","Census Tract 4515.05, Alameda County, California","181471","36157",
"1400000US06001451506","Census Tract 4515.06, Alameda County, California","109483","17235",
"1400000US06001451601","Census Tract 4516.01, Alameda County, California","171144","18188",
"1400000US06001451602","Census Tract 4516.02, Alameda County, California","112121","40805",
"1400000US06001451701","Census Tract 4517.01, Alameda County, California","145455","28256",
"1400000US06001451703","Census Tract 4517.03, Alameda County, California","168654","25894",
